"C_RTEST"	"U_SRTST"	"RTYPE"	"RSEX"	"SRVALOW"	"SRVALUP"	"RLABID"	"D_RLABSR"	"D_RLABSP"	"RTEST"	"RAGEL"	"RAGEH"	"STUDY"
"38"	"0003"	"mmol/l"	"B"	3	0.2	0.48	"CA1219401"	1999-10-14	2222-12-31	"URIC ACID SERUM"	0	109	"RP56976V 327"
"39"	"0003"	"mmol/l"	"B"	1	0.16065	0.5355	"PR0000901"	2000-08-20	2222-12-31	"URIC ACID SERUM"	18	109	"RP56976V 327"
"40"	"0003"	"mmol/l"	"B"	3	NA	NA	"US2106202"	NA	NA	"URIC ACID SERUM"	NA	NA	"RP56976V 327"
"41"	"0004"	"mmol/l"	"B"	3	4.644	6.192	"PL0002203"	2001-01-03	2001-01-04	"TOTAL CHOLESTEROL"	50	109	"RP56976V 327"
"42"	"0005"	"g/dl"	"B"	1	6	8	"AR0001401"	2000-08-03	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"43"	"0005"	"g/dl"	"B"	1	6.4	8.3	"AR0001402"	2000-06-29	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"44"	"0005"	"g/dl"	"B"	1	6	8.3	"AR0001403"	2000-08-08	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"45"	"0005"	"g/dl"	"B"	1	6.4	8.3	"AR0001404"	2001-07-14	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"46"	"0005"	"g/dl"	"B"	3	6.1	7.9	"AR2193901"	2000-07-07	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"47"	"0005"	"g/dl"	"B"	3	6	8	"AR2193902"	2000-07-05	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"48"	"0005"	"g/dl"	"B"	3	6.6	8.7	"AR2193903"	2001-12-08	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"49"	"0005"	"g/dl"	"B"	3	6	8	"AR2193904"	2001-10-10	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"50"	"0005"	"g/dl"	"B"	3	6	7.8	"AR2193905"	2002-02-06	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"51"	"0005"	"g/dl"	"B"	3	6	8	"AR2196401"	1997-01-02	2222-12-31	"TOTAL PROTEIN"	20	109	"RP56976V 327"
"52"	"0005"	"g/dl"	"B"	1	6.3	8.2	"AT2195701"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"53"	"0005"	"g/dl"	"B"	1	6.2	8	"AT2195801"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"54"	"0005"	"g/dl"	"B"	1	6	8	"AT2196301"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"55"	"0005"	"g/dl"	"B"	1	6.2	8.2	"AT2196701"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"56"	"0005"	"g/dl"	"B"	1	6	8	"AT4747301"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"57"	"0005"	"g/dl"	"B"	3	6.3	8.4	"AU0002101"	2001-08-20	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"58"	"0005"	"g/dl"	"B"	3	6.3	7.9	"AU0002101"	2000-06-14	2001-08-19	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"59"	"0005"	"g/dl"	"B"	3	6	8	"AU0002114"	2001-08-30	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"60"	"0005"	"g/dl"	"B"	3	6.5	8	"AU0002118"	2001-11-29	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"61"	"0005"	"g/dl"	"B"	1	6	8	"AU1038811"	2001-03-15	2222-12-31	"TOTAL PROTEIN"	17	109	"RP56976V 327"
"62"	"0005"	"g/dl"	"B"	1	6.6	8.4	"AU1038812"	2001-05-24	2222-12-31	"TOTAL PROTEIN"	17	109	"RP56976V 327"
"63"	"0005"	"g/dl"	"B"	3	6.6	8.2	"AU1385507"	2001-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"64"	"0005"	"g/dl"	"B"	3	6	8	"AU1385514"	2000-11-14	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"65"	"0005"	"g/dl"	"B"	1	6	7.8	"AU1385522"	2001-08-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"66"	"0005"	"g/dl"	"B"	3	6	8	"AU2196502"	2000-06-13	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"67"	"0005"	"g/dl"	"B"	3	6	8	"AU2196508"	2000-04-19	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"68"	"0005"	"g/dl"	"B"	3	6	8	"AU2196510"	1999-04-28	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"69"	"0005"	"g/dl"	"B"	3	6	8.4	"AU2196513"	2001-06-08	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"70"	"0005"	"g/dl"	"B"	3	6	8	"AU2196514"	2002-01-02	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"71"	"0005"	"g/dl"	"B"	3	6	8.2	"AU2196603"	1999-11-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"72"	"0005"	"g/dl"	"B"	3	6	8	"AU2196604"	1998-01-02	2222-12-31	"TOTAL PROTEIN"	17	109	"RP56976V 327"
"73"	"0005"	"g/dl"	"B"	3	6	8.1	"AU2196605"	1999-06-25	2222-12-31	"TOTAL PROTEIN"	60	80	"RP56976V 327"
"74"	"0005"	"g/dl"	"B"	3	6	8.2	"AU2196605"	1999-06-25	2222-12-31	"TOTAL PROTEIN"	16	60	"RP56976V 327"
"75"	"0005"	"g/dl"	"B"	3	6	8	"AU2196605"	1999-06-25	2222-12-31	"TOTAL PROTEIN"	80	109	"RP56976V 327"
"76"	"0005"	"g/dl"	"B"	3	6.4	8.2	"AU2196619"	2002-04-23	NA	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"77"	"0005"	"g/dl"	"B"	3	6	8	"AU2213206"	1999-04-19	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"78"	"0005"	"g/dl"	"B"	1	6	8.1	"AU2238905"	2001-05-03	2222-12-31	"TOTAL PROTEIN"	60	80	"RP56976V 327"
"79"	"0005"	"g/dl"	"B"	3	6.1	8.4	"AU2238909"	2001-05-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"80"	"0005"	"g/dl"	"B"	3	6	8	"AU2238915"	2003-12-16	2222-12-31	"TOTAL PROTEIN"	16	109	"RP56976V 327"
"81"	"0005"	"g/dl"	"B"	3	6	8	"AU2238915"	2002-01-21	2002-12-08	"TOTAL PROTEIN"	16	109	"RP56976V 327"
"82"	"0005"	"g/dl"	"B"	3	6.5	8.5	"AU2238915"	2002-12-09	2003-12-15	"TOTAL PROTEIN"	10	70	"RP56976V 327"
"83"	"0005"	"g/dl"	"B"	3	6	8	"AU2238916"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	16	109	"RP56976V 327"
"84"	"0005"	"g/dl"	"B"	3	6.3	8.2	"AU2238917"	2002-03-27	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"85"	"0005"	"g/dl"	"B"	3	6	8	"BE0006401"	2000-06-27	2222-12-31	"TOTAL PROTEIN"	2	109	"RP56976V 327"
"86"	"0005"	"g/dl"	"B"	3	6.6	8.3	"BE0024801"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"87"	"0005"	"g/dl"	"B"	3	6	7.8	"BE0024802"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"88"	"0005"	"g/dl"	"B"	3	6.1	7.9	"BE1382801"	2001-01-01	2222-12-31	"TOTAL PROTEIN"	1	120	"RP56976V 327"
"89"	"0005"	"g/dl"	"B"	3	6.5	8	"BE1382801"	2000-01-06	2000-12-31	"TOTAL PROTEIN"	1	120	"RP56976V 327"
"90"	"0005"	"g/dl"	"B"	3	6.4	8.2	"BE1382802"	2001-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"91"	"0005"	"g/dl"	"B"	3	5.8	7.6	"BE1382803"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	1	120	"RP56976V 327"
"92"	"0005"	"g/dl"	"B"	1	5.8	7.6	"BE1382804"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"93"	"0005"	"g/dl"	"B"	3	6.5	8	"BE1382805"	2001-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"94"	"0005"	"g/dl"	"B"	3	6.7	8.7	"BE2053401"	2000-01-01	2222-12-31	"TOTAL PROTEIN"	18	120	"RP56976V 327"
"95"	"0005"	"g/dl"	"B"	3	6.2	8.3	"BR0002001"	2001-07-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"96"	"0005"	"g/dl"	"B"	3	6	8	"BR1840501"	2000-11-22	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"97"	"0005"	"g/dl"	"B"	1	6.7	8.7	"BR2195901"	2001-01-25	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"98"	"0005"	"g/dl"	"B"	1	6	8	"BR2195902"	2001-06-20	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"99"	"0005"	"g/dl"	"B"	3	6.4	8.1	"BR2195904"	2001-01-18	2001-01-18	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"100"	"0005"	"g/dl"	"B"	3	6.2	8.2	"CA0004501"	2000-10-11	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"101"	"0005"	"g/dl"	"B"	3	6.3	8	"CA0004701"	2001-12-03	2222-12-31	"TOTAL PROTEIN"	5	150	"RP56976V 327"
"102"	"0005"	"g/dl"	"B"	3	6.3	8	"CA0004701"	2000-08-17	2001-12-02	"TOTAL PROTEIN"	5	150	"RP56976V 327"
"103"	"0005"	"g/dl"	"B"	3	6.3	8.2	"CA0004702"	2002-03-01	2222-12-31	"TOTAL PROTEIN"	5	150	"RP56976V 327"
"104"	"0005"	"g/dl"	"B"	3	6.4	8.4	"CA0004901"	2000-06-26	2001-11-13	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"105"	"0005"	"g/dl"	"B"	3	6.4	8.4	"CA0004901"	2001-11-14	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"106"	"0005"	"g/dl"	"B"	3	6.4	8.4	"CA0004902"	2001-04-17	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"107"	"0005"	"g/dl"	"B"	3	6	8	"CA0006401"	1998-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"108"	"0005"	"g/dl"	"B"	3	6	8	"CA0006402"	2001-07-31	2222-12-31	"TOTAL PROTEIN"	0	150	"RP56976V 327"
"109"	"0005"	"g/dl"	"B"	3	6	8	"CA1219401"	1999-10-14	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"110"	"0005"	"g/dl"	"B"	3	6.2	7.7	"CA1818401"	2001-10-19	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"111"	"0005"	"g/dl"	"B"	3	6	8	"CA1818401"	1996-04-29	2001-10-18	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"112"	"0005"	"g/dl"	"B"	3	6	8	"CA1818402"	2001-01-23	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"113"	"0005"	"g/dl"	"B"	3	6.2	8.2	"CA1818403"	2001-01-22	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"114"	"0005"	"g/dl"	"B"	3	6	8	"CA1818404"	2001-05-07	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"115"	"0005"	"g/dl"	"B"	3	6.2	8.2	"CA1818405"	2001-05-07	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"116"	"0005"	"g/dl"	"B"	3	6	8	"CA1818406"	2001-07-03	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"117"	"0005"	"g/dl"	"B"	3	6.8	8	"CA1818407"	2001-08-21	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"118"	"0005"	"g/dl"	"B"	3	6	8	"CA1818409"	1999-08-03	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"119"	"0005"	"g/dl"	"B"	1	6	8	"CA2139101"	1999-01-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"120"	"0005"	"g/dl"	"B"	1	6	8	"CA2139102"	2000-12-20	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"121"	"0005"	"g/dl"	"B"	1	6	8	"CA2139103"	2001-06-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"122"	"0005"	"g/dl"	"B"	1	6	8.2	"CA2139104"	2000-04-18	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"123"	"0005"	"g/dl"	"B"	3	6.4	8	"CA2191501"	1999-04-22	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"124"	"0005"	"g/dl"	"B"	3	6	8	"CA2191502"	2001-02-02	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"125"	"0005"	"g/dl"	"B"	1	6	8	"CA2191503"	2002-04-19	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"126"	"0005"	"g/dl"	"B"	3	6.2	8.2	"CA2191601"	1998-11-01	2002-05-06	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"127"	"0005"	"g/dl"	"B"	3	6.2	8.2	"CA2191601"	2002-05-07	2003-11-30	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"128"	"0005"	"g/dl"	"B"	3	5.5	8	"CA2191602"	1998-10-01	2003-10-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"129"	"0005"	"g/dl"	"B"	3	6	8	"CA2191603"	1998-10-01	2003-10-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"130"	"0005"	"g/dl"	"B"	1	6	8	"CA2191605"	1997-03-01	2002-03-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"131"	"0005"	"g/dl"	"B"	1	6	8	"CA2191605"	2002-04-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"132"	"0005"	"g/dl"	"B"	1	6.2	7.8	"CA2191701"	2000-05-03	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"133"	"0005"	"g/dl"	"B"	3	6.5	8	"CA2191801"	2001-07-02	2002-07-01	"TOTAL PROTEIN"	13	109	"RP56976V 327"
"134"	"0005"	"g/dl"	"B"	3	6.5	8	"CA2191802"	2001-04-01	2222-12-31	"TOTAL PROTEIN"	13	109	"RP56976V 327"
"135"	"0005"	"g/dl"	"B"	3	6	8	"CA2191803"	2001-11-26	2002-03-21	"TOTAL PROTEIN"	13	109	"RP56976V 327"
"136"	"0005"	"g/dl"	"B"	3	6	8	"CA2191804"	2001-03-03	2002-03-02	"TOTAL PROTEIN"	13	109	"RP56976V 327"
"137"	"0005"	"g/dl"	"B"	3	6	8.5	"CA2191805"	2001-09-17	2002-05-31	"TOTAL PROTEIN"	13	109	"RP56976V 327"
"138"	"0005"	"g/dl"	"B"	3	6	8	"CA3529501"	2001-06-15	2222-12-31	"TOTAL PROTEIN"	16	109	"RP56976V 327"
"139"	"0005"	"g/dl"	"B"	1	6.5	8.5	"CZ2220501"	2000-01-01	2003-01-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"140"	"0005"	"g/dl"	"B"	1	6	8	"DE2196201"	2000-05-25	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"141"	"0005"	"g/dl"	"B"	1	6.6	8.7	"DE2196202"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"142"	"0005"	"g/dl"	"B"	1	6.6	8.7	"DE2198201"	2000-03-22	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"143"	"0005"	"g/dl"	"B"	1	6.6	8.3	"DE2218401"	2000-10-26	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"144"	"0005"	"g/dl"	"B"	1	6	8	"DE2267501"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"145"	"0005"	"g/dl"	"B"	1	6.6	8.7	"DE2267502"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"146"	"0005"	"g/dl"	"B"	1	6	8.3	"DE3594001"	2000-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"147"	"0005"	"g/dl"	"B"	1	6.6	8.7	"DE3594002"	1901-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"148"	"0005"	"g/dl"	"B"	3	6.3	8	"ES0001701"	2000-03-17	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"149"	"0005"	"g/dl"	"B"	3	6	8.1	"ES0003801"	2000-03-21	2222-12-31	"TOTAL PROTEIN"	15	80	"RP56976V 327"
"150"	"0005"	"g/dl"	"B"	3	6.4	8	"ES0003901"	2000-03-09	2003-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"151"	"0005"	"g/dl"	"B"	3	6	8	"ES0020501"	2000-04-06	2222-12-31	"TOTAL PROTEIN"	0	108	"RP56976V 327"
"152"	"0005"	"g/dl"	"B"	3	6.6	8.7	"ES0020502"	1999-02-19	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"153"	"0005"	"g/dl"	"B"	3	6.6	8.7	"ES2229001"	2000-02-14	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"154"	"0005"	"g/dl"	"B"	3	6.61	8.13	"ES2248801"	1999-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"155"	"0005"	"g/dl"	"B"	3	6.5	8.7	"ES2248901"	1997-01-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"156"	"0005"	"g/dl"	"B"	1	6.4	8.3	"ES2249601"	1998-12-01	2222-12-31	"TOTAL PROTEIN"	0	109	"RP56976V 327"
"157"	"0005"	"g/dl"	"B"	1	6	8	"FI0006701"	2001-01-25	2003-10-30	"TOTAL PROTEIN"	15	109	"RP56976V 327"
"158"	"0005"	"g/dl"	"B"	1	6.5	8	"FI0006801"	2000-01-01	2002-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"159"	"0005"	"g/dl"	"B"	3	6	7.5	"FR0019701"	2000-03-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"160"	"0005"	"g/dl"	"B"	3	6	8	"FR0019702"	2000-03-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"161"	"0005"	"g/dl"	"B"	3	6	7.5	"FR0019703"	2000-03-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"162"	"0005"	"g/dl"	"B"	3	6.3	8.2	"FR0019704"	2000-03-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"163"	"0005"	"g/dl"	"B"	3	6	8	"FR0019705"	2000-03-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"164"	"0005"	"g/dl"	"B"	3	6.8	8.8	"FR0019707"	2000-03-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
"165"	"0005"	"g/dl"	"B"	3	6	7.5	"FR0019708"	2000-03-01	2222-12-31	"TOTAL PROTEIN"	18	109	"RP56976V 327"
